9|7|10|0|6 , file disclosure vulnerability information exposure
9|7|10|0|6 , incorrect access control rce
0|6|7 , poor input validation unchecked prerequisite relate
0|6|7 , local elevation privilege
3|4|7|0|6 , inadequate account lockout setting brute force account credential
9|7|10|0|6 , banner disclosure obtain extraneous product information os software component http response header
0|6|7 , uncontrolled search path element execute arbitrary code malicious dll directory
9|7|10|0|6 , properly implement logging obfuscation feature obtain sensitive information vector involve special character
0|6|7 , execute arbitrary code upload help desk video
5 , send large stun packet lack rate limiting denial service
9|7|10|0|6 , bypass intend access restriction obtain sensitive document information guess document
0|6|7 , lookup plugin control result lookup inject unicode string parse code execution
0|6|7 , validate zlib compression factor denial service memory consumption craft elf file
0|6|7 , bypass authentication impersonate arbitrary user username http header
9|7|10|0|6 , file write specially craft packet file write new program write memory module
9|7|10|0|6 , obtain sensitive information read cache datum
9|7|10|0|6 , information disclosure improperly handle object memory
9|7|10|0|6 , obtain sensitive information
0|6|7 , dll hijacking eots
0|6|7 , directory traversal unspecified impact unknown vector
0|6|7 , remote code execution
9|7|10|0|6 , hardcode private key spoof server decrypt network traffic
9|7|10|0|6 , information disclosure
3|9|4|7|0|6 ,
0|6|7 , script injection inject script
0|6|7 , disabled downloadable product inadequate validation user input
9|7|10|0|6 , sharing texture_2d_array leak cross origin datum craft html page
10 , trick process run create overwrite
9|7|10|0|6 , trick victim send credential
10 , properly restrict access resource limited information disclosure modifcation datum limit denial service
0|6|7 , improper input validation download execute arbitrary file adduploadfile setselectitem doopenfile function.(cve-2020
0|6|7 , open manipulate windows bitmap .bmp
0|6|7 , denial service dos long password change password dialog
0|6|7 , segmentation fault craft input supply parse_obj
0|6|7 , deterministic recursion pattern pathological input algorithm excessive stack usage potential overflow crash
0|9 , hijacking valid vra user
9|7|10|0|6 , cleartext credential obtain sensitive information unspecified vector
9|7|10|0|6 , view stack trace reveal path home directory disk sensitive data exposure
9|7|10|0|6 , gain elevate privilege overly permissive file permission specific system file craft command string write craft string specific file location execute arbitrary operating system command
0|6|7 , heap base buffer overflow execute arbitrary code craft entry size value zip archive
0|6|7 , improper input validation denial of- dos
9|7|10|0|6 , xml external entity xxe public php server.php read arbitrary file craft xml file
9|7|10|0|6 , create access token
9|7|10|0|6 , leak secure world timing information
5 , denial service memory leak craft file
0|6|7 , shrink 256 mb inflate 256 mb crash node process
0|6|7 , inject arbitrary command underlie operating system insufficient validation user supply input provide malicious input specific field execute arbitrary command
9|7|10|0|6 ,
0|6|7 , open redirect redirect user arbitrary web site phishing attack redirection url
0|6|7 , denial service infinite loop crash execute arbitrary code large component count
9|7|10|0|6 , default root password rootpw gain access unspecified vector
9|7|10|0|6 , obtain information compromise user system object memory
0|6|7 , denial service crash crafted mode 6 response packet
9|7|10|0|6 ,
0|6|7 , execute arbitrary code
9|7|10|0|6 , compromise oracle applications technology stack unauthorized read access
9|7|10|0|6 , peinst cifs share obtain sensitive information unattend.xml sysprep.inf read password
10|3 , information exposure man middle obtain encryption key
0|6|7 , memory leak denial service memory consumption invalid content length header long post request craft authentication credential
0|6|7 , denial service file descriptor consumption http request error message
9|7|10|0|6 , obtain sensitive information extract card
0|6|7|9 , execute arbitrary command url parameter api openurlindefaultbrowser api showsb
0|6|7 , remote code execution rce specially craft network packer bd_svr
0|6|7 , execute code stale cache line
9|7|10|0|6 , read access foster additional access
9|7|10|0|6 , cache.db
0|6|7|9 , bypass intend key export restriction
10 , cap_net_raw create raw socket
9|7|10|0|6 , open local file drop url noopener
0|6|7 , overwrite arbitrary file xml /tmp pia watcher.plist truncate create hard soft link arbitrary file denial service data loss
0 , use non ascii character guest vm comment field exit exception prevent automate recovery deny service
10|3 , incorrect access control
0|6|7 , gain privilege craft application
0|6|7 , input validation ™ s ™ s insert unexpected format
0|6|7|9 , bypass intended administrative authentication read change parameter value direct request
0|6|7 , affected device reload parse issue dns packet send craft dns packet affect device reload denial service dos condition
0|6|7 , denial service properly validate input privileged user guest operating system denial service
0|6|7 , denial service bsod unspecified impact validate input value
3|9|7|6|0|1 , xml parsing trick saml system authenticate different user
0|6|7 , ftd directory traversal attack read sensitive file lack proper input validation url http request craft http request contain directory traversal character sequence view arbitrary file obtain access asa ftd system file underlie operating system os
5 , denial service memory leak craft file
0|6|7 , dll hijacking exchndl.dll
3|9|7|6|0|1 , remote authentication bypass complete cluster compromise compromise entire cluster specially craft api
9|7|10|0|6 , sensitive information
2 , https url obtain sensitive information craft pac file
9|7|10|0|6 , initialize certain structure member obtain sensitive information kernel stack memory craft recvmsg recvfrom
0|6|7 , create temporary file
10 , modify content systemd service file gain privileged access
9|7|10|0|6 , properly restrict setmdniescreencurtain api control device screen craft application eavesdrop phone shutdown record conversation
10 , access inheritance project job configuration
1|0|3|9 , policy enforcement navigation bypass content security policy craft html page
3|9|7|6|0|1 , authentication bypass obtain valid authentication token view alter administrative configuration setting
0|6|7 , use ssh port forwarding
0|9 , obtain language pack man middle mitm replace original language pack
9|7|10|0|6 , obtain sensitive information debug interface keystroke usb cable wireless password visibility
5 , vpc interface device cease forward packet properly check length packet transmit craft ip packet craft ip fragment network interface cease forward packet vpc di vpc si
0|6|7 , arbitrary script specially craft ssid web setup page
9|7|10|0|6 , display cross origin content loading cross origin content access content
0|6|7 , delete file system request parameter
0|6|7 , execute arbitrary code craft packet
3|4|7|0|6 , insecure method verify credential request service broker different credential infer valid credential gain access perform broker operation
0|6|7 , invalid transaction block chain id replay attack spamming attack
0|6|7 , remote code execution properly validate input authenticate user guest operating hyper v remote code execution
3|9|7|6|0|1 , cgi bin admin.cgi token authentication add administrative account userprefs action
0|6|7 , code execution
0|6|7 , thread safety denial service unspecified impact
9|7|10|0|6 , insufficient access restriction default installation directory elevate privilege replace homednsserver.exe binary
9|7|10|0|6 , sign credential session token leak server
0|6|7 , reboot
0|6|7 , improper input validation firmware escalation privilege adjacent access
0|6|7 , mistakenly launch executable binary
9|7|10|0|6 , obtain sensitive information unspecified vector
3|9|7|6|0|1 , bypass authentication read arbitrary file unspecified vector
0|6|7 , load page malicious content edge content security policy csp properly validate certain specially craft document
4|0|6|7 , hard code cryptographic key create jwt sign token bypass kiali authentication mechanism gain privilege view alter istio configuration
3|9|4|7|0|6 ,
9|7|10|0|6 , check password response delay enumerate valid username series login request
0|6|7 , execute arbitrary code arf wrf send user malicious arf wrf file email attachment open file execute arbitrary code
0|6|7 , improper input validation execute arbitrary command
3|9|7|6|0|1 , edit file replication setting broken access control ` replicationsettings!default.jspa `
0|6|7 , mvpn bgp session repeatedly reset partial denial service dos incorrect parsing specific type bgp bgp peer connection reset bgp route instability impact traffic send corrupt bgp update
0|6|7 , libobby verify ssl server certificate spoof server arbitrary certificate
3|9|7|6|0|1 , obtain sensitive configuration archive log information unspecified vector
0|6|7 , execute arbitrary command shell metacharacters page parameter include media w parameter aka width field thumb.php unspecified vector includes media bitmap.php includes media imagehandler.php
9|7|10|0|6 , disclose sensitive information visit malicious page open malicious file lack proper validation user supply datum read past end allocate object execute code
0|6|7|9 , incorrect access control
9|7|10|0|6 , list valid credential id attack capture credential
0|6|7 , properly handle certain alarm length denial service infinite loop malforme packet
9|7|10|0|6 , information disclosure improperly handle object memory
0|6|7 , denial service device reload ssl tls packet
4|0|6|7 , hardcoded ftp username access ftp server upload file list directory
0|9 , reflect arbitrary origin header value cor misconfiguration security problem
9|7|10|0|6 , read system memory unspecified impact craft jid
9|7|10|0|6 , trigger memory corruption obtain audio datum
0|9 , improper session handling application specific password permission file access
0|6|7 , malforme tls handshake crash lead disruption service
0|6|7 , send email old email address email address change
9|7|10|0|6 , read clipboard activity
9|7|10|0|6 , permissive acl password change
0|6|7 , execute arbitrary code craft request index.plx
9|7|10|0|6 , obtain sensitive information craft web site
3|9|7|6|0|1 , use special resettoken security relevance accidentally share token block potential future use token
0|9 , renew session variable session fixation hijacking vulnerability utilize cookie
3|9|7|6|0|1 , callback verification provide alternate credential twitterkit-<consumer verify authenticity response forgery associate twitter account party service
3|9|7|6|0|1 , modify setting boot order
3|9|7|6|0|1 , bypass authentication source ip address previously use
0|6|7 , errorexitifattackviastring function delete arbitrary file hard link
9|7|10|0|6 , obtain potentially sensitive information mac address
0|6|7 , validation issue overwrite arbitrary file
0|6|7 , nvlddmkm.sys denial service escalation privilege
3|9|4|7|10|0|6 , information disclosure expose login information query vappconfig property view credential
0|6|7 , inject code control behaviour application impact integrity availability
10|3 , small set random character decryption short time
9|7|10|0|6 , obtain sensitive information process memory craft web site
0|6|7 , csv(comma separate value injection vulnerability embed untrusted datum
2 , man middle attack check ssl certificate perform action system confidentiality
0|6|7|9 , tm suspend mode tm_reclaim denial service tm bad thing exception panic craft application
4|0|6|7 , hardcode ppp credential
5 , compromise oracle ireceivables frequently repeatable crash complete dos oracle ireceivables
9|7|10|0|6 , local privilege escalation improper file permission elevate privilege root
5 , elevation privilege dxgkrnl improperly handle object memory
4|0|6|7 , use hard code credential obtain sensitive information unspecified vector
9|7|10|0|6 , obtain sensitive information invalid request error message
3|9|4|7|0|6 ,
3|9|4|7|0|6 , improper authentication vulnerability cleartext transmission authentication credential
0|6|7 , denial service ldap directory service outage craft ldap query remote anonymous dos
3|9|7|6|0|1 , generate password undocumented user account
0|6|7 , discover subject non visible issue csv export reading time entry
0|6|7 , denial service syncsharesvc service outage craft change batch datum window dll loading denial service
0|6|7 , ensure data available array allocation denial service application crash craft packet
0|6|7 , properly validate memory allocation internal data structure execute arbitrary code large cachesize property integer wrap buffer overflow
0|6|7 , modify product functionality trojan horse extension
0|6|7 , missing hsts header
0|6|7 , escalation privilege denial service information disclosure
0|6|7 ,
9|7|10|0|6 , obtain sensitive address information read callback= line debugf file
0|6|7 , obtain root shell access craft terminal window input
9|7|10|0|6 , arbitrary file deletion
0|6|7 , enable denial service
3|9|7|6|0|1 , wrong check system time bypass lock protection
0|6|7 , close denial service
0|6|7 , overwrite sensitive file code execution impersonate remote server
0|6|7 , gain privilege modify userid value unspecified function
0|6|7 , execute arbitrary command shell metacharacter hostname obtain dhcp message
0|6|7 , insufficient input verification access specific directory information leakage
0|6|7 , device reload unexpectedly denial service dos incomplete input validation unexpected configuration option submit craft user input device reload dos condition
0|6|7 , kill run process insecure permission
0|6|7 , dll loading
0|6|7 , improper input check wallpaper service permanent denial service
0|6|7 , cn spoof ssl server arbitrary valid certificate
9|7|10|0|6 , obtain sensitive user information
0|6|7 , zef.sys denial service bsod unspecified impact validate input value
0|6|7 , read arbitrary text file craft xml xslt function select statement
3|9|7|6|0|1 , execute privileged command insufficient validation uri path
9|7|10|0|6 , properly follow intend cookie storage policy track user cookie synchronization issue
4|0|6|7 , file download execution store hardcode cryptographic key file download execution craft web page
0|6|7 , denial service crash vector relate server root
9|7|10|0|6 , affect confidentiality
0|6|7|9 , lack capability check insufficient nonce check ajax action admin activate_plugin activate arbitrary plugin instal vulnerable site
0|6|7 , dissect_wa_payload large tag value denial service application crash craft packet
3|9|7|6|0|1 , bypass authentication substring launch.php?bigtree_htaccess_url=admin/images/..\ uri
5 , memory leak send specific resource reservation protocol rsvp release memory handle packet memory leak dos condition
9|7|10|0|6 , include interface set arbitrary http header cookie header common.inc.php register variable $ cookie value bypass xss filter
9|7|10|0|6 , read potentially sensitive system environment variable craft request tcp
5 , elevation privilege properly handle object memory
0|6|7 , improper input validation execute arbitrary code open malicious file
0|6|7|9 ,
3|9|7|6|0|1 , authentication bypass information disclosure
0|6|7 , atpkrnl.sys denial service bsod validate input value
0|6|7 , denial service memory allocation error craft plist file
0|6|7 , elevation privilege gain execution victim system
0|6|7 , remote code execution
3|9|4|7|0|6 , create administrator user obtain smtp credential
0|6|7 , instal malicious application send parameter module crash data communication process
9|7|10|0|6 , obtain sensitive information unspecified vector
0|6|7 , store client template injection /knowage restful service signup update parameter
9|7|10|0|6 , compromise oracle flexcube core banking unauthorized read access
9|7|10|0|6 , obtain default value password field parameterize job read dom
10 , permission bypass local information disclosure
9|7|10|0|6 , improper file permission gain privileged access local access
0|6|7 , application crash incorrect application level input validation
0|6|7 , denial service properly validate input privileged user guest operating denial service
0|6|7 , gain privilege trojan horse dll unspecified directory
0|9 , dns hijacking force rubygems client download install gem server
0|6|7 , size check dump denial service assertion failure daemon crash large bgp packet
0|6|7 , denial service dos
9|7|10|0|6 , timeout issue properly clean sensitive datum sensitive key material
0|6|7 , untrusted search path gain privilege trojan horse dll unspecified directory
0|6|7 , cause denial service vector involve arbitrary datum
9|7|10|0|6 , security bypass information disclosure
9|7|10|0|6 , obtain sensitive information unspecified vector
0|6|7 , spoof url bar forward button
9|7|10|0|6 , inline create rest set reporter issue miss authorisation check
0|6|7|9 ,
0|6|7 , gain privilege craft dll current working
0|6|7 , check expect datum denial service application crash craft packet
0|6|7 , send_to_sourcefire execute arbitrary command ip address port number field omp request
9|7|10|0|6 , unintended information leak information leak publish screenshot browser window
0|6|7 , gain privilege unspecified vector
9|7|10|0|6 , validate parameter aggregategroup silently delete group metadata
3|9|4|7|0|6 , obtain sensitive information cgi snfdestservlet importexportservlet
0|6|7 , origin method execution javascript code execution
0|6|7 , specially craft packet crash interrupt traffic flow device( crash flowd process extend denial service fail traffic interruption fail fail completely halt flowd cause flip flop failover
9|7|10|0|6 , read protection read access
9|7|10|0|6 , information disclosure
9|7|10|0|6 , sensitive information domain attack system
9|7|10|0|6 , event monitor notification
9|7|10|0|6 , url http https request obtain sensitive information unspecified vector
0|6|7|9 , gain privilege execute arbitrary code
0|6|7 , send specially craft packet network internal error improper input validation method memmove crash render unavailable view modify
10 , monitor device network intercept network packet attack device
0|6|7 , denial service infinite loop craft dnp3 packet
9|7|10|0|6 , obtain sensitive memory layout information unspecified vector
0|6|7 , bounds read leak memory
0|6|7 , edge include check buffer limit denial service assertion failure daemon exit craft xml document
9|7|10|0|6 , mount attack system
4|0|6|7 , use hard code credential elevate privilege control device
2 , interception man middle mitm
0|6|7 , incorrect handling datum pass unserialize function
0|6|7 , write arbitrary file subsequently execute file craft tcp packet unspecified port
9|7|10|0|6 , discover file content
9|7|10|0|6 , error message enumerate username soap request machine.aspx
9|7|10|0|6 , /controller agent agent.conf
1|0|3|9 , authentication bypass forge localhost string http host header
0|6|7|9 , dynamic scripting execute arbitrary mvel expression java code source parameter
0|9 , session fixation attack data confidentiality integrity
9|7|10|0|6 , view task current user domain
3|9|7|6|0|1 , bypass peer authentication x.509 certificate chain intermediate
0|6|7 , denial service service outage data loss
9|7|10|0|6 , verify x.509 certificate ssl server man- spoof server obtain sensitive information craft certificate
3|9|7|6|0|1 , bypass authentication lack proper string matching execute arbitrary code
5 , memory allocation crash
0|6|7 , html includes graph common.inc.php html includes graph graphs.inc.php sufficiently validate encode field user supply input prevent sql injection attack inject rrdtool syntax html graph.php disclose directory structure filename file content denial service write arbitrary file
0|6|7 , denial service data plane exposure control plane exposure
9|7|10|0|6 , obtain sensitive information direct request .php file error message topic noti_newtopic.php
5 , memory leak
10 , file truncate
4|0|6|7 , hash encrypt password hardcode cryptographic key sal_util_str_encrypt encrypt decrypt password decrypt
9|7|10|0|6 , weak permission web browser cookie obtain sensitive information unspecified vector
0|6|7 , path traversal arbitrary file host filesystem read write copy file from/
10|3 ,
0|6|7 , processing certain response
0|6|7 , script file execve program
0|6|7 , email header injection inject arbitrary email header send unintended email specially craft request
5 , failure free memory
9|7|10|0|6 , access sensitive datum blockmacbyte 0 blockmacrandbytes
9|7|10|0|6 , intentional information exposure loss confidentiality function data_on_connection
3|9|4|7|0|6 , password complexity setting low access security insecure user password
0|6|7 , properly validate image id redirect image loading untrusted image docker load
10 , improper permission service availability
0|6|7 , boot loop improper input validation local denial service
0|6|7 , send craft udp packet snmp service denial service
0|6|7 , send duplicate response server overwrite arbitrary file client download directory create craft subdirectory remote server download file hierarchy craft subdirectory
3|9|7|6|0|1 , obtain sensitive information wmxstate netstate request
0|6|7 , untrusted search path execute program root
0|9 , session handling session id reuse provide unauthorized access bmc
4|0|6|7 , access affected device default static password default static password log cspc use
9|7|10|0|6 , obtain installation path
9|7|10|0|6 , information disclosure
9|7|10|0|6 , properly block level domain set cookie header obtain sensitive information control different web site level domain
3|9|1|4|0|6 , verify ceph client replay attack authenticate ceph service packet sniffer perform action confidentiality integrity system availability
9|7|10|0|6 , properly restrict option available lock screen read contact datum view photo unspecified vector
9|7|10|0|6 , gain privilege modify cefsharp.browsersubprocess.exe
0|6|7 , epan crypt lack eapol_rsn_key denial service application crash craft packet
0|6|7 , remote code execution arrange thing .git vanity import path /.git head file config file object directory ref consider parent directory run git command execute system
5 , allocate large memory memory error denial service
9|7|10|0|6 , configuration change snmp knowledge read write community
9|7|10|0|6 , record plain text password
10 , information disclosure denial service adjacent access
2 , file integrity validation file download man middle attack replace executable file malicious version
9|7|10|0|6 , access /bin sh disclosure password hash
0|6|7|9 , layout restrict number character passwordentry input field bypass intend access restriction systemui crash
0|6|7 , array index error execute arbitrary code unspecified vector
10 , insecure file permission obtain sensitive information perform unauthorized action
0|6|7 , system crash improper input validation local denial service
3|9|4|7|0|6 , gain unauthorized service access service interface
0|6|7 , symlink vulnerability
0|6|7 , \\.\pipe\windscribeservice pipe endpoint connect execute openvpn process taskkill run malicious process
9|7|10|0|6 , configuration file obtain sensitive information read file
9|7|10|0|6 , obtain sensitive information read log
0|6|7 , untrusted search path gain privilege trojan horse dll unspecified directory
0|9 , verify identity communication endpoint man the- gain access communication channel endpoint
0|6|7 , crash packet injection malformed capture file calculate line end
9|7|10|0|6 , improper access control obtain x64 agent hofitx information
0|6|7 , of- bound access denial service application crash
0|6|7 , read sensitive file write limited set file craft usb drive router
0|6|7 , escalate privilege root symbolic link attack
10|3 , plaintext decrypt email leak embed form
0|6|7 , bypass file blacklist upload arbitrary file file path utf-8 encoding
5 , memory leak denial service host memory consumption
9|7|10|0|6 ,
3|4|7|0|6 , improper restriction excessive authentication attempt perform arbitrary number /web frames/ authentication attempt gain access targeted account
3|9|7|6|0|1 , bypass authentication craft sftp session
2 , capture packet time authentication gain access cleartext password create new user account control device
0|6|7 , regular expression denial service
0|6|7 , allocation failure
9|7|10|0|6 , disclose sensitive information network attack system
9|7|10|0|6 , create log entry contain password obtain sensitive information read log file
9|7|10|0|6 , unauthenticated file copy arbitrary remote command execution bprd
9|7|10|0|6 , read root crontab file
2 , http strict transport security hsts optional response header downgrade attack ssl strip man the- cookie hijacking
9|7|10|0|6 , obtain sensitive product information error page
0|6|7 , properly validate execute arbitrary code craft application
9|7|10|0|6 , read arbitrary file xml external entity declaration xml external entity xxe
0|6|7 , execute arbitrary code craft deserialize datum http post request
0|6|7 , execute arbitrary code denial service memory corruption craft media file
3|9|7|6|0|1 , alter data portal
0|6|7 , injection vulnerability redirect login site influence appearance login page text injection
0|6|7 , execution script
9|7|10|0|6 , hijack web session gain privilege craft email
9|7|10|0|6 , insecure permission execute code context sensu service account place arbitrary dll c:\opt\sensu\embedded\bin directory exploit standard windows dll load order behavior
3|9|7|6|0|1 , incorrect access control request
9|7|10|0|6 , insecure file permission privilege escalation
0|6|7 , denial service application crash vector relate ocsp responder url
0|6|7 , clickjacking attack
5 , honor size option fetcherror throw gate file size double check size datum work large file dos cost money computing
3|9|4|7|0|6 , compromise user account
0|6|7 , malicious request virtual server tmm restart
0|6|7 , risky character
0|6|7 , insecure library loading unsafe library loading browser relate library extension arbitrary code execution
0|6|7 , obtain sensitive information gain privilege symlink attack archive file temporary directory
9|7|10|0|6 , enumerate meeting room guess meeting room
9|7|10|0|6 , read cal_whitelist table cal gain privilege place trojan horse program app pathname
0|6|7 , compromise renderer process bypass navigation restriction craft html page
9|7|10|0|6 , obtain sensitive information application implementation unspecified vector
0|6|7 , denial service device reload craft mpls packet
0|6|7 , bypass intended user confirmation requirement initiate arbitrary facetime craft url
0|6|7 , arbitrary file overwrite overwrite arbitrary file
0|6|7 , improper input validation send specially craft programmable controller communication command pccc dos condition
2 , read credential valid user
9|7|10|0|6 , datum uninitialized negative pixel value
3|9|4|7|0|6 , unprotected transport credential sniff local network traffic discovery authentication credential
9|7|10|0|6 , view list domain username userconfiguration.do?method=edituser request
0|6|7 , remote code execution remote code execution
0|6|7 , properly validate password bypass authentication send valid username craft password string
0|6|7 , denial service malforme http request
0|6|7 , execute arbitrary code craft truetype font truetype font parsing
9|7|10|0|6 , jsonp information disclosure
3|9|4|7|0|6 , weak access control mechanism remotely escalate privilege disclose credential administrative account plain text
0|6|7 , execute arbitrary command underlie operate system affect device insufficient user input validation craft request web base management interface execute arbitrary command
9|7|10|0|6 , obtain information specially craft application
9|7|10|0|6 , obtain sensitive information
5 , multiple -p command line argument free()'ed arbitrary code execution
4|0|6|7 ,
9|7|10|0|6 , direct_mail obtain sensitive information improper checking authentication code
4|0|6|7 , hardcoded account password admin password hidden api url /goform systemcommand execute command
0|6|7 , malicious code execute referrer url data confidentiality integrity
3|9|7|6|0|1 , bypass authentication null byte password valid user
0|6|7 , denial service sna server service outage craft tcp udp traffic access unallocated memory
9|7|10|0|6 , obtain sensitive information soap fault
9|7|10|0|6 , influence communication
0|6|7|9 , video driver denial service device reboot craft application
0|6|7 , gain access source file
0|6|7 , validation untrusted input bound memory read craft html page
9|7|10|0|6 ,
0|6|7 , handling invalid url spoof content omnibox url bar craft html page
3|9|4|7|0|6 , discover wi fi credential
3|9|7|6|0|1 , authentication bypass
0|6|7 , properly handle modal dialog denial service application crash unspecified vector
9|7|10|0|6 , obtain sensitive information user_login user_pass user_email value direct request wp content upload tmm_db_migrate wp_users.dat
9|7|10|0|6 , malforme saml response obtain sensitive information
9|7|10|0|6 , insecure permission control access privilege escalation
5 , memory leak craft string denial service memory consumption
10|3 , encrypt protect intellectual property artifact retrieve easily exfiltrate instal intellectual property
0|6|7 , universal communications format ucf denial service dos condition insufficient validation ucf medium file send user malicious ucf file link email attachment open file quit unexpectedly
0|6|7|9 , ignore permission obtain sensitive information read backup data lack intend restriction
5 , denial service process inefficiently
0|9 , obtain sensitive information man middle technique properly invalidate session token
0|6|7 , local file- customerportal.php view file execute local script code
9|7|10|0|6 , information disclosure issue read datum
3|9|7|6|0|1 , execute arbitrary code unspecified protocol operation
0|6|7 , validation user input use uninitialized memory specially craft request denial service
9|7|10|0|6 , wp admin include class wp press- properly restrict visibility taxonomy assignment user interface bypass intend access restriction
9|7|10|0|6 , /var lib docker ` traverse directory content execute program setuid ` discover execute program discover read modify file limit access host volume
9|7|10|0|6 , bypass intend access restriction obtain sensitive information unspecified vector
0|6|7 , craft file segmentation violation wav_convert2mono function
9|7|10|0|6 , determine origin webpage affect browser cross origin request
9|7|10|0|6 , bypass party app sandbox protection mechanism read arbitrary manage preference craft app
9|7|10|0|6 , information exposure information exposure query string impersonate legitimate user
9|7|10|0|6 , obtain information specially craft application
9|7|10|0|6 , replace archive file control extract ram
0|6|7 , command line interface lms dcnm properly validate input obtain root privilege unspecified vector
9|7|10|0|6 , integrity protection warning obtain sensitive information
0|6|7|9 , security configuration tool sct escalate privilege
0|6|7 , uninstall old version write dll version.dll dll hijacking elevate privilege system
0|6|7 , properly check environment variable bypass intend command restriction craft environment variable
4|0|6|7 , log device static credential vulnerability default username password remotely connect affect device log
0|6|7 , verify server hostname match domain subject common cn subjectaltname field x.509 certificate spoof ssl server arbitrary valid certificate
9|7|10|0|6 , read local file
3|9|7|6|0|1 , internal http header authentication bypass vulnerability cwe-287 view internal file change setting manipulate service execute arbitrary code
8|9 , privilege escalation save rich media message delete message fake user send message
0|6|7|9 , bypass intend access restriction
9|7|10|0|6 , obtain sensitive memory information craft sane_net_control_option packet
9|7|10|0|6 , send pop message user change post appearance
5 , nvlddmkm.sys properly limit number frequency interaction actor denial service
0|6|7 , lazy_bdecode bootstrap dht execute arbitrary code craft packet improper indexing
0|6|7 , sufficiently validate xml document
10 , delete arbitrary file carefuly craft http request logout
9|7|10|0|6 , information disclosure improperly disclose content memory
0|6|7 , bound write improper input validation local escalation privilege
3|9|7|6|0|1 , bypass filesystem restriction craft html page
9|7|10|0|6 , expose hashed content /etc security issue
9|7|10|0|6 , extract image fragment craft html page
9|7|10|0|6 , read arbitrary file xml external entity declaration xml external entity xxe
0|6|7 , improper sanitization user input huge memory allocation crash pchunk->size value
0|6|7 , execute arbitrary code set argument vulnerable api code execution
9|7|10|0|6 , obtain sensitive information craft application
9|7|10|0|6 , obtain sensitive information dashboard
3|9|4|7|0|6 ,
0|6|7 , execute arbitrary command host operate command injection
9|7|10|0|6 , properly initialize certain data structure obtain sensitive information craft application
0|6|7 , search path gain privilege trojan horse dll unspecified directory
0|6|7 , denial of- condition device compromise availability device
3|9|7|6|0|1 , password calculation mac address obtain access arp request message neighbor solicitation message
10|3 , obtain web api service private key encrypted communication juniper device decrypt communication juniper device obtain user identity
3|9|4|7|0|6 ,
4|0|6|7 ,
0|6|7 , execute arbitrary php code
3|9|7|6|0|1 , improper authentication vulnerability insufficiently validate user identity certain operation
3|9|7|6|0|1 , guess valid mac address register previously unregistered device
0|6|7|9 , execute arbitrary command craft serialize java object
3|9|7|6|0|1 , client javascript login.js
0|6|7 , check code execute check clone pull repository
9|7|10|0|6 , information exposure
9|7|10|0|6 , information disclosure improperly disclose content memory
4|0|6|7 , hardcode dsa ssh key /opt axess chroot directory tree
9|7|10|0|6 , jsonp information disclosure network map
0|6|7|9 , bypass intend access restriction communicate service
9|7|10|0|6 , read arbitrary file import sql statement
0|6|7 , incomplete validation shape argument grad_values_t pass bad ` grad_values_t assertion failure denial service
9|7|10|0|6 , obtain information compromise user system object memory information disclosure
0|6|7|9 , execute command web administration tool crash
0|6|7 , denial service guest os crash craft ethernet frame
1|3 , arbitrary file read operation multipart form processing
0|6|7 , format string execute arbitrary code format string specifier username host argument
0|6|7|9 , bypass intend access restriction navigate filesystem location
0|6|7 , server specify identifier write file arbitrary location client pub.pem
0|6|7 , ssl certificate caching man middle attack
9|7|10|0|6 , use suitable encryption algorithm storefront web request obtain sensitive information padding oracle attack browser access traffic log
3|9|7|6|0|1 , properly enforce saml subjectconfirmation method security semantic spoof attack unspecified vector
3|9|7|6|0|1 , execute arbitrary code unspecified vector
0|6|7|9 , elevation privilege local malicious application execute arbitrary code compromise privileged process
0|6|7 , easy mocking system visit malicious site run arbitrary code overly broad default cors configuration send cross site request create dynamic expectation execute arbitrary code behalf overly broad cors configuration script injection serve malicious page compromise
0|6|7 , execute arbitrary ruby code create directory /tmp contain craft uid ruby code directory
0|6|7 , affected device reload relay reply denial service dos incomplete input validation encapsulate option send craft dhcpv4 packet affected device reload dos condition
9|7|10|0|6 , information exposure obtain credential enter
9|7|10|0|6 , read content newly create ssl tls key file
5 , memory allocation size specially craft message 127.0.0.1:7153
9|7|10|0|6 , information disclosure
0|6|7 , properly handle redirect conjunction http basic authentication remote web server capture credential log authorization http header
9|7|10|0|6 , obtain sensitive information direct request .php file error message work connector linker.cnr.php
0|6|7 , server request forgery ssrf craft image
9|7|10|0|6 , read omapi secret gain control dhcp record network system availability
4|0|6|7 , hardcode cryptographic key alter connection setting terminal agent spoof relay service
3|9|7|6|0|1 , match username attribute remote username spoof user saml idp server internal username
9|7|10|0|6 , bypass aslr protection mechanism craft web site
0|9 , session fixation insufficient session management maintain system access session fixation user password change
0|6|7 , write arbitrary file symlink attack file synchronization path
0|6|7 , unspecified impact crafted apple lossless audio codec alac large nb_sample value
2 , exposure
0|6|7 , validate data type denial service bounds read application crash craft packet
0|6|7 , modify product functionality trojan horse extension
0|6|7 , denial service application crash craft web page
9|7|10|0|6 , obtain netrc password read authorization header redirect request
9|7|10|0|6 , bypass origin policy obtain object reference custom event message event pop state event
9|7|10|0|6 , teacher function authority control access edit user credential personal information craft url parameter
0|6|7 , arbitrary command execution note field meeting rce
0|6|7 , ttmd.exe improper validation user supply datum specially craft message terminate ttmd.exe
