7|9|6|0|10 , local privilege escalation
7|9|6|0|10 , end user registration obtain user password
7|6|0 , work blacklist path
5 , uid reuse local escalation privilege
7|6|0 , elevate privilege
7|9|6|0|10 , disclose sensitive information read past end allocate object execute code
7|9|6|0|10 , directory traversal
7|6|0 , denial service bsod unspecified impact
7|9|6|0|10 , pendingintent hijacking access contact information
3|1 , start blockchaintzservice
7|6|0 , docker command root run command root
3|7|6|9|1|0 , initiate communication server achieve elevate privilege
7|6|0 , version downgrade
7|6|0 , malicious file detection bypass malware detection mechanism
7|9|6|0|10 , obtain sensitive information existence file read certain datum file
7|6|9|0 , local privilege escalation delete arbitrary file execute arbitrary code system socially engineer victim
7|6|4|0 , enter superuser password access modify setting device reset exist password
7|6|0 , denial service stop mode transition
7|6|0 , denial service device reload
10 , authentication bypass gain access perform action affected system
7|6|0 , elevation privilege
7|9|6|0|10 , obtain sensitive information
7|6|4|0 , arbitrary command obd
7|6|4|0 , use hard code credential unauthorized read write
7|9|6|0|10 , enumerate sensitive filename location source code
7|6|0 , attacker copy api-ms-win-core-path-l1-1-0.dll load use
7|9|6|0|10 , obtain sensitive information
7|6|0 , access shell underlie linux operating system gain shell access access system configuration file
7|6|0 , denial service denial service hang system oom killer
7|6|0 , creation system.data symlink attack create corrupt exist file dos attack
7|6|0 , dll preloading load malicious dll
5 , memory leak
7|6|0 , denial service
7|9|6|0|10 , gain privilege force command
7|9|6|0|10 , information disclosure
7|9|6|0|10 , man middle attack steal authentic credential encrypt path gain complete control system
3|7|6|9|1|0 , create arbitrary classification master
7|6|0 , inject command file snmpd.conf allow execute command target server
7|6|0 , create overwrite arbitrary file denial service dos
7|6|0 , denial service
7|9|6|0|10 , access restrict artifact
3|7|6|9|1|0 , view database backup file
7|9|6|0|10 , access sensitive datum affected system obtain sensitive information application
7|9|6|0|10 , determine
7|9|6|0|10 , discover user
3|7|6|9|1|0 , lmi bypass authentication
3|7|6|9|1|0 , authentication bypass
7|6|0 , client request
7|6|0 , misinterpret payload large packet inject packet security boundary
7|6|0 , inject arbitrary code debug mcafee process
7|6|0 , assertion
7|6|0 , buffer overflow denial service segmentation fault
7|9|6|0|10 , enable escalation privilege
7|6|0 , inject control character newline error loc
7|9|6|0|10 ,
7|6|0 , remove encode terminal control character newline process log message inject nest event ossec log obfuscate event execute command remote attack
7|6|0 , send length field information disclosure datum tampering denial service
7|9|6|0|10 , system privilege escalation arbitrary instal application connect publicly expose method execute code
7|9|6|0|10 , obtain access brute force guess attack
7|6|0 , denial service daemon crash
7|6|9|0 , read modify arbitrary report
3|7|6|9|1|0 , administrative session victim router sniff network traffic know public ip address session
3|7|6|4|0 , enumerate username attack system
7|6|0 , read arbitrary file
7|6|0 , denial service mysqld crash
3|7|6|9|1|0 , obtain certain permission
7|9|6|0|10 , file write arbitrary location cluster
7|6|0 , supervisor mode access prevention smap denial service hypervisor vm crash
7|6|0 , dos attack
7|6|0 , different site phishing attack spoof identify site
7|6|0 , lpts process restart unexpectedly brief denial service dos condition restart unexpectedly impact lpts traffic dos condition
7|6|0 , denial service proxy process hang
7|6|0 , http request smuggling attack
3|7|6|9|1|0 , authentication bypass invoke action change web ui password enable debug mode telnetd gain shell escalation root
7|6|0 , spoof server obtain sensitive information
5 , attempted memory allocation outofmemoryerror error
7|6|0 , man in- spoof update execute arbitrary code
7|9|6|0|10 , obtain information delete page
7|6|9|0 , getrunningappprocesses function bypass intend getrecenttask restriction discover foreground application
7|9|6|0|10 , information disclosure
7|6|0 , read sensitive file outside permission
2 , unintended cleartext issue username password
7|6|0 , arbitrary file read operation
7|6|0 , remote code execution remote code execution
7|9|6|0|10 , project window password storage obtain sensitive information
7|6|0 , crlf injection add new user group
7|9|6|0|10 , obtain potentially sensitive information proxy server software
9|0 , trap session
3|7|6|9|1|0 , obtain information information leak
7|6|4|0 , access device database
7|6|0 , uncontrolled search path element achieve arbitrary code execution
7|6|9|0 , write arbitrary file
7|6|0 , command injection inject command target device
10 , view form form entry
7|6|0 , read user supply configuration file elevate privilege apport read file system root
7|9|6|0|10 , delete arbitrary file system render system unusable
7|9|6|0|10 , obtain cleartext domain administrator password
3|7|6|9|1|0 , improper authentication perform modification parameter affected device
7|6|9|0 , code execution
7|6|0 , execute arbitrary code office uninitialized object pointer
5 , memory leak
7|6|0 , denial service daemon outage
7|6|0 , exploit heap corruption
7|6|0 , untrusted search path gain privilege
7|9|6|0|10 , validation issue
7|9|6|0|10 , generation random session id value predict value
7|6|9|0 , modify power type key type
7|9|6|0|10 , obtain keypress information
7|6|0 , delete arbitrary file
7|9|6|0|10 , information disclosure content variable disclose
7|9|6|0|10 , obtain sensitive information obtain sensitive information man middle technique
7|6|9|0 , execute arbitrary java code
10 , zero user store address
5 , denial service application crash memory allocation failure
7|6|0 , short message service sms denial service dos set pseudo base station send special malware text message fail send receive text message
7|9|6|0|10 , access sensitive cluster information
7|9|6|0|10 , code execution
7|6|0 , app crash local denial service
7|9|6|0|10 , sensitive information mac address client wlan achieve information disclosure
7|6|0 , traverse file system modify expose sensitive datum execute arbitrary code
7|6|0 , bypass intend dual control restriction modify datum
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , obtain potentially sensitive information heap memory address
7|6|0 , denial service guest os crash
3|7|6|9|1|0 , obtain sensitive video image datum
7|9|6|0|10 , http 500 error leak technical information elaborate attack
7|9|6|0|10 , information exposure obtain geolocation device
7|6|0 , denial service reset expect origin timestamp fail origin timestamp check drop denial service
7|9|6|0|10 , obtain sensitive user login information page view statistic
7|6|0 , sql injection attack obtain sensitive information denial service
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , information disclosure issue unexpected application termination arbitrary code execution
7|6|0 , execute arbitrary code
7|6|0 , open redirect redirect user arbitrary web site phishing attack redirect user arbitrary web site phishing attack
3|7|6|9|1|0 , view video audio
7|6|0 , denial service abort
7|9|6|0|10 , obtain information specific configuration download file
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , bypass svg filtering obtain sensitive user information
3|7|6|9|1|0 , bypass authentication gain access privileged function privileged operation restart service
7|6|0 , segfault string deallocation performance penalty
3 ,
7|6|0 , bypass intend access restriction upload execute arbitrary file
7|9|6|0|10 , local information disclosure overwrite content directory information disclosure
7|9|6|0|10 , create vm attach secret namespace read content secret
3|7|6|9|1|0 , bypass device lock code
7|9|6|0|10 , obtain session token arbitrary user
7|9|6|0|10 , incorrect access control
3|7|6|9|1|0 , execute arbitrary command
7|6|0 , install malicious application craft malformed model tamper certain output datum information
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , forgery ssh host certificate
7|6|0 , bypass authentication context restriction use authentication source
7|6|0 , escalation privilege local access
7|9|6|0|10 , information disclosure
7|6|0 , denial service device reload
3|7|6|9|1|0 , bypass intend parent table access
7|6|0 , remote code execution
7|6|0 , obtain sensitive information process memory modify memory content
7|9|6|0|10 , object lifecycle bypass content security policy
7|6|0 , segv unknown address remote denial service
7|6|0 , denial service dos device unexpectedly reload switch reload send malicious packet inject malformed message victim bgp network
5 , denial service
7|9|6|0|10 , read arbitrary file
9|8|2 , check install package
7|6|0 , bypass access control
7|6|0 , denial service assertion failure daemon exit
7|9|6|0|10 , memory leak denial service memory consumption process restart
3|7|6|9|1|0 , authentication bypass obtain manipulate sensitive information
7|6|0 , denial service dos condition cisco meeting server cms reload dos condition
7|6|0 , remote code execution
7|9|6|0|10 , obtain sensitive kernel memory layout information
5 , denial service disk consumption
7|6|0 , denial service improper plug
7|9|6|0|10 , obtain email subscription list
5 , resetting user preference local information disclosure secure network traffic
7|9|6|0|10 , denial service targeted information disclosure modification component northstar system denial service
7|9|6|0|10 , obtain sensitive information bypass unspecified protection mechanism
7|6|0 , gather information host system
7|6|0 , obtain sensitive information modify tls session datum triple handshake attack triple handshake vulnerability
7|6|9|0 , bypass intend access restriction read arbitrary purchase order work log
7|9|6|0|10 , execute arbitrary code load dll file execute arbitrary code
7|6|0 , denial service web interface outage
7|6|0 , information disclosure
7|9|6|0|10 , compromise oracle hospitality suite8 unauthorized read access partial denial service partial dos
7|9|6|0|10 , obtain sensitive physical address information
7|9|6|0|10 , bypass intend restriction reading sensitive user information
7|9|6|0|10 , authentication bypass obtain cleartext credential
7|6|0 , specifically craft malicious packet denial service
7|9|6|0|10 , incorrect access control delete arbitrary menuitem
7|6|0 , high availability ha denial service
7|6|0 , denial service memory consumption device outage
7|6|0 , denial service bsod unspecified impact
7|6|0 , force relion 650 series reboot denial service
7|9|6|0|10 , read arbitrary file xml external entity xxe
7|6|0 , denial service application crash unspecified impact
7|9|6|0|10 , change default file permission modify host file redirect traffic intend destination malicious unwanted content
7|6|0 , modify powershell script powershell security feature
7|6|0 , disruption service
7|9|6|0|10 , escalation privilege local access
7|6|0 , bypass content security policy
3|7|6|9|1|0 , obtain access disable anti virus functionality
3|10 , access sensitive system usage information access collect certain tracking datum usage statistic
7|9|6|0|10 , page load bypass origin policy obtain sensitive information
7|6|0 , overwrite system file overwrite system file
7|6|0 , remote denial service device hang reboot remote denial service
7|6|0 , spoof ssl server
3|7|6|9|1|0 , obtain sensitive device information
2 , exposure
7|6|0 , modify roster intercept message
7|6|4|0 , bypass authentication execute arbitrary action administrative privilege
10 , whitelist bypass execute blacklist file
7|6|0 , denial service infinite loop
7|6|0 , execute arbitrary code corruption table virtual function table corruption remote code execution
7|9|6|0|10 , retrieve password hash information
7|9|6|0|10 , read arbitrary file read /etc
7|6|0 , untrusted search path gain privilege trojan horse dll unspecified directory execute arbitrary code
7|6|0 , read arbitrary file
7|6|4|0 , control qnap kayako service access sensitive datum
7|6|0 , gain remote code execution
7|6|0 , audio recording
7|6|4|0 , remote code execution root access
7|6|0 , layer 2 network storm
7|9|6|0|10 , extract sensitive information machine
3|7|9|6|4|0 , unprotected storage credential gain access root password root password
7|6|0 , complete account takeover data confidentiality integrity
7|6|0 , gain privilege
7|6|0 , execute arbitrary command
7|6|0 , input validation ™ s ™ s insert unexpected format date field break object page
3|7|9|6|4|0 , gain unauthorized access
7|9|6|0|10 , detect specific file user computer
3|7|6|9|1|0 , inject malicious command code
7|9|6|0|10 , channel information
2 , view sensitive information additional reconnaissance attack disclosure sensitive customer datum access sensitive customer datum
3|7|9|6|4|0 , gain unauthorized access
7|6|0 , remote code execution remote code execution
7|6|0 , denial service infinite loop
7|9|6|0|10 , gain privilege
7|6|0 , gain privilege
7|6|0 , arbitrary code execution
3|7|6|9|1|0 , rest api authentication bypass remote code execution
7|6|0 , improper neutralization special element injection read arbitrary file
2 , cleartext transmission sensitive information view unencrypted password mcafee web gateway
7|6|0 , denial service
7|9|6|0|10 , root privilege escalation connect execute shell script
3|7|6|9|1|0 , local bypass security restriction
7|9|6|0|10 , view screen content control application content execute application
7|9|6|0|10 , information disclosure
3|7|6|9|1|0 , logic judge error modify alarm clock setting uncommon operation
5 , memory leak denial service
7|6|0 , logic issue execute script
7|6|0 , information leak
3|7|9|6|4|0 , modify sensitive anti virus setting
3|7|9|6|4|0 , session child expose credential
7|9|6|0|10 , obtain access
3|7|6|9|1|0 , code execution denial service escalation privilege information disclosure code execution denial service escalation privilege
7|6|0 , download installation package file integrity validation replace file executable signature check
7|6|0 , execute arbitrary command
7|6|0 , input validation deny existence datum dns packet replay
3|7|6|9|1|0 , authentication bypass remotely compromise device
7|6|0 , register confirm email address prevent legitimate user
3|7|6|9|1|0 , bypass authentication access configuration interface
7|6|0 , generate arbitrary symlink host filesystem overwrite depend
7|6|9|0 , access restrict directory
7|6|0 , frame inject arbitrary network packet
7|6|0 , resource exhaustion remote denial service
7|6|0 , denial service device crash
7|6|0 , untrusted search path execute arbitrary code
7|9|6|0|10 , retrieve change sensitive configuration item
7|6|4|0 , authentication bypass authentication bypass
3|9|1|0 , spoof configuration owner disclose sensitive information unauthorized access
7|9|6|0|10 , factory reset device factory reset remove user datum loss datum factory reset
7|9|6|0|10 , read arbitrary file
5 , achieve denial service
7|6|0 , impersonation modification library execute code system
7|6|0 , obtain potentially sensitive information kernel stack memory denial service bug system crash
7|6|0 , execute arbitrary code
9|0 , session fixation hijack user session
7|6|0 , spoof firefox android incorrect domain append notification
7|6|0 , segmentation fault crash denial service execution arbitrary code
7|6|0 , elevation privilege symbolic link hard link attack
7|6|0 , validation issue restrict access website
7|6|0 , buffer read
7|6|0 , prevent instantiation arbitrary type remote code execution
7|9|6|0|10 , elevation privilege
7|9|6|0|10 , transfer arbitrary file host computer obtain sensitive information
7|6|0 , create scorm remote code execution
7|9|6|0|10 , access snapshot
7|9|6|0|10 , information disclosure
7|9|6|0|10 , elevation privilege accept harmful file
7|6|9|0 , bypass intend restriction javascript api execution
5 , dos vulnerability statement timeout dos
7|6|0 , denial service revoke traps agent license
7|9|6|0|10 , malicious guest expose vhost user backend process memory
7|9|6|0|10 , camera
7|6|9|0 , use access video feed picture foot hold
2 , cleartext transmission sensitive information leak sensitive information transmit
2 , unencrypted network traffic reuse cookie bypass authentication disable camera
7|9|6|0|10 , send system serial number
7|6|0 , denial service assertion failure daemon exit
7|9|6|0|10 , unauthorized password change
7|9|6|0|10 , system privilege escalation arbitrary instal application connect publicly expose method execute code
7|6|0 , broken acl configuration
7|6|0 , unrestricted file upload execute arbitrary code
7|6|0 , denial service service hang
7|6|0 , write modify arbitrary file upload malicious package modify arbitrary file
7|6|0 , execute arbitrary code
7|9|6|0|10 , obtain sensitive kernel memory layout information
7|9|6|0|10 , read modify add delete system application file escalate privilege system function stop corrupt user application
7|6|0 , denial service process crash snmp trap
3|7|9|6|4|0 , view digest credential clear text recover password attack
3|10 , obtain access password
7|9|6|0|10 , local malicious application access datum outside
7|9|6|0|10 , flush node node_ext cache kernel stack dump obtain sensitive information bypass kaslr protection mechanism
7|9|6|0|10 , graphics device interface bypass aslr protection mechanism gdi+ information disclosure vulnerability
7|6|9|0 , elevation privilege local malicious application access system function local bypass restriction
7|6|0 , arbitrary code execution option injection attack
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , disclosure information
7|9|6|0|10 , hijack authentication connection
7|6|0 , clickjacking attack
7|9|6|0|10 , authorization vulnerability access web ui
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , view sensitive information referrer log
7|6|0 , unspecified impact
7|6|0 , denial service bsod unspecified impact
7|9|6|0|10 , obtain sensitive information
3|7|9|6|4|0 , obtain sensitive information username password
7|6|0 , use after- free vulnerability execute arbitrary code
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , obtain administrative access
7|6|0 , remote code execution
7|6|9|0 , insecure direct object reference submit post request vulnerable site modify delete arbitrary object
7|6|0 , remote code execution
7|6|0 , dns rebinding attack
7|6|0 , denial service markup handle scan timeout carefully craft email scan time denial service denial service
7|6|0 , run malicious code
3|7|6|9|1|0 , crack default password gain access system
7|6|0 , denial service
3|10 , mitm attack remote code execution rce
7|6|0 , untrusted search path gain privilege
7|6|0 , denial service persistent outage
7|9|6|0|10 ,
7|6|9|0 , bypass intend restriction javascript api execution
3|7|6|9|1|0 , authentication vulnerability bypass password authentication access service
7|9|6|0|10 , penny- flooding protection determine association wallet address
7|9|6|0|10 , obtain active session id bypass authentication gain privilege
7|6|0 , elevation privilege
7|9|6|0|10 , obtain database connection e mail connection password
3|1 , remove extend privilege attribute denial service capability stripping
7|6|0 , gain privilege overwrite device model
7|9|6|0|10 , obtain sensitive information
3 , use password hash reveal account credential password decryption attack .sde configuration
7|6|0 , execute arbitrary code
7|9|6|0|10 , defeat cryptographic protection mechanism discover authentication key
7|6|0 , uncontrolled search path element uncontrolled search path element remote attacker privilege execute arbitrary code
7|9|6|0|10 , information disclosure
7|9|6|0|10 , information disclosure issue leak sensitive configuration information improperly view detail
3|7|6|9|1|0 ,
7|6|0 , denial service process reload
7|9|6|0|10 , create file contain confidential datum read confidential datum
7|6|0 , prevent user access service
7|6|0 , string translate denial service crash
7|9|6|0|10 , determine user exist
7|6|9|0 , read search result associate user protect file
3|1 , access sensitive information
7|6|0 , denial service application crash
7|6|0 , denial service bsod
7|6|0 , denial service segmentation fault
0 , invalid password reset attempt forge log entry
7|6|0 , spoof issue
7|6|0 , denial service application unavailability
7|9|6|0|10 , obtain sensitive information kernel memory
7|9|6|0|10 , page fault system obtain sensitive information arbitrary process
3|7|6|9|1|0 , obtain sensitive information login csrf
7|6|0 ,
3|7|6|4|0 , brute force encrypt backup datum
7|6|0 , spoof domain
7|6|0 , resource exhaustion remote denial service
7|6|0 , denial service
7|6|0 , unspecified impact
7|9|6|0|10 , obtain sensitive information application implementation
7|6|0 , obtain sensitive information process memory denial service data corruption device reload
7|6|9|0 , bypass intend restriction javascript api execution
7|6|0 , denial service daemon crash underflow error
7|6|9|0 , affect confidentiality integrity
7|9|6|0|10 , read modify snmp object
7|9|6|0|10 , mishandles arctangent calculation obtain sensitive information
7|9|6|0|10 , read web.config file discover database credential
3|7|6|9|1|0 , email spoofing attack send message source email address interchange xml
7|6|0 , directory traversal
2 , cleartext transmission sensitive information eavesdrop authentication information dnsexit
7|9|6|0|10 , information disclosure private project namespace
7|6|4|0 , log affected system log affected system execute arbitrary command
3|9|1|0 , partial authentication bypass send unencrypted data frame discern information modify datum
7|9|6|0|10 , obtain sensitive information process memory
7|6|0 , directory traversal
7|6|0 , inconsistent user interface
7|9|6|0|10 , configure sandboxe groovy script create new ` file ` object string read arbitrary file type coercion sandbox protection
7|6|9|0 , elevation privilege execute arbitrary code local permanent device compromise
7|6|0 , overwrite file
7|9|6|0|10 , information exposure
7|6|0 , remote code execution
7|9|6|0|10 , bypass intend memory read restriction
7|9|6|0|10 , ion memory management obtain sensitive information
7|6|0 , integer overflow
7|6|0 , denial service assertion failure daemon exit
7|6|0 , overwrite arbitrary file overwrite file
5 , packet matching ipv6 packet forward
7|6|0 , denial service denial service
7|9|6|0|10 , gain privilege
7|6|0 , denial service kill process
7|6|0 , denial service denial service
7|6|0 , open manipulate plt file crashing application temporarily unavailable
7|6|0 , man the- middle attack modify windows registry value
7|6|0 , denial service cpu hang host crash
7|6|0 , denial service crash
7|9|6|0|10 , obtain sensitive information kernel memory
7|6|0 , arbitrary file overwrite
7|6|0 , write arbitrary memory location video ram graphic translation table
3|7|6|9|1|0 , gain privileged permission access transaction record fraudulent trading login
7|6|0 , authenticated remote command execution
7|9|6|0|10 , discover credential
7|6|0 , bypass intended x.509 certificate verification
7|6|9|0 ,
3|7|9|6|4|0 , customer set
7|6|0 , heap datum infoleak
7|6|0 , remote code execution vulnerability perform file operation
3|7|9|6|4|0 , incorrect access control
5 , memory leak denial service memory leak
7|6|9|0 , load arbitrary firmware update
7|9|6|0|10 , information exposure impersonate legitimate user execute arbitrary code
3|7|9|6|4|0 , attack chain gain ssh root access
7|6|9|0 , table improper access control tamper parameter delete datum user delete datum
3|7|9|6|4|0 , set weak password easy cracking
7|6|0 , pxp agent load arbitrary code privilege escalation
7|9|6|0|10 , execute arbitrary code obtain sensitive information
7|6|0 , bound read local information disclosure
7|6|0 , denial service memory overwrite execute arbitrary code
7|6|0 , improper input validation read address
7|9|6|0|10 , arbitrary file deletion dos
3|7|6|9|1|0 , perform desire action authentication bypass
3|7|6|9|1|0 ,
3|7|6|9|1|0 , remote server execute arbitrary code denial service memory corruption
7|9|6|0|10 , identify password lock account
7|9|6|0|10 , buffer overflow attack obtain sensitive information
2 , obtain sensitive cleartext information
7|9|6|0|10 , access datum outside permission level access sensitive datum
7|6|0 , obtain sensitive user information modify datum
3|7|6|9|1|0 , session fixation hijack web session
7|9|6|0|10 , unhashed password obtain sensitive information
3|7|6|9|1|0 , denial of- disconnect wireless client
7|6|9|0 , write arbitrary file
7|6|0 , privilege escalation modify file system root
7|6|0 , local file inclusion
7|6|0 , denial service insist assertion failure request processing outage
7|6|0 , specially craft ldap query impact confidentiality application
7|9|6|0|10 , gain unauthenticated unauthorized access non sensitive engagement center template datum
7|9|6|0|10 , local privilege escalation
7|6|0 , bypass intend access restriction
7|9|6|0|10 , download attachment link arbitrary private project
7|6|0 , arbitrary write
10 , attack authenticated group privilege escalation modify postgresql configuration execute arbitrary command escalate gain system privilege user access
3|7|6|9|1|0 , bypass google totp
7|6|0 , spoof ssl server
7|9|6|0|10 , read sensitive object metadata
7|9|6|0|10 , uncontrolled recursion stack overflow
10 , incorrect access control
7|9|6|0|10 , source to- privilege escalation run root user open network connection action
7|6|0 , fallback format mismatch response&#39;s prevent use website
7|6|0 , remote http server overwrite file
7|6|0 , write arbitrary file
7|6|0 , spoof ssl server
9|0 ,
7|6|0 , remote code execution
7|9|6|0|10 , obtain sensitive information
7|6|0 , denial service dos condition affect device restart content scanning dos condition
7|9|6|0|10 , modify delete datum contain file
7|6|0 , redirect user arbitrary web site phishing attack obtain sensitive information
7|6|0 , untrusted search path gain privilege
7|6|0 , execute code root level privilege execute code root level privilege
3|7|6|9|1|0 , bypass authentication check inject invalid mapping eid rloc
7|9|6|0|10 , execute arbitrary command
7|9|6|0|10 , open redirect redirect victim attacker control domain sensitive information disclosure
7|6|0 , gain privilege
3|7|9|6|4|0 ,
7|9|6|0|10 , data loss prevention obtain sensitive information
7|6|0 , denial service dos
7|6|0 , write configuration file
7|9|6|0|10 , information disclosure obtain sensitive information
7|6|0 , improper access control access file redirect mcafee file operation
7|6|9|0 , obtain open proxy functionality
7|6|0 , denial service
7|6|0 , script injection
7|6|0 , denial service reboot
7|9|6|0|10 , obtain sensitive photo contact information
9|0 , cookie value obtain cookie value
7|9|6|0|10 , submit sql query access database table access password
7|6|0 , pid file overwrite arbitrary file
7|6|0 , leak information execute remote denial service
7|9|6|0|10 , leak cross origin datum
7|9|6|0|10 , obtain sensitive information process memory
7|9|6|0|10 , planning decision making process retreive information kuka simulation system launch local simulationswith similar characteristic far understand dynamic motion virtualization toother attack compromise integrity andavailability).beyond compromise simulation interface industrial machinery connect simulation control system jumpingfrom simulation real pivot visual component
3|7|9|6|4|0 ,
7|9|6|0|10 , access report datum
7|6|0 , gain privilege code injection
7|6|0 , unspecified impact remote attack vector
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , change owner contract
3|10 , data protection associate metadata
7|6|0 , file read operation
7|9|6|0|10 , format- obtain sensitive information heap base buffer -read
7|9|6|0|10 , determine arbitrary file
7|6|0 , denial service device reload large tcp packet
7|6|0 , upload file device service abnormal
3|7|6|9|1|0 , internal information
3|7|6|9|1|0 , java key store password disclosure provide unauthenticated attacker plain text password grant access web base administration interface
7|6|9|0 , update arbitrary timeslot event escape store xss issue
7|6|0 , denial service daemon hang digital signature vulnerability
7|9|6|0|10 , spoof client read backup datum
7|6|0 , read operational datum tls session state denial service bypass security
7|6|9|0 , execute arbitrary code
7|6|0 , arbitrary code execution
7|9|6|0|10 , modify query parameter obtain sensitive information
7|6|0 , connect host different
7|9|6|0|10 , canouldre activate
7|9|6|0|10 , carry propagate online access unpatched persistent dh parameter
10 , write access kernel code
3|7|6|9|1|0 , gain unauthorized access target device gain access zookeeper datum node influence behavior system
7|6|4|0 , obtain access
7|6|0 , treat flatpak app substitute craft ` /.flatpak info file escalate privilege
3|7|6|9|1|0 , bypass authentication form digest login type
7|9|6|0|10 , obtain sensitive information process memory microsoft browser memory corruption
7|6|0 , access child wrong thread exploitable crash
7|6|0 , restricted desktop environment escape restricted environment access underlie operating system
7|9|6|0|10 , add debug line log
7|6|0 , local packet transport service flow base entry denial service session drop
7|9|6|0|10 , credential leak expose azure resource manager secret key data confidentiality integrity
3|7|6|9|1|0 , login site
3|9|1|0 , inject wrong ip address log
7|6|0 , regular expression denial service
7|9|6|0|10 , information exposure enumerate valid username
7|6|0 , denial service bsod unspecified impact
5 ,
7|9|6|0|10 , local malicious application access datum outside compromise privileged process
7|6|0 , redirect user undesired web page redirect request specify malicious url redirect user malicious website
3|7|6|9|1|0 , bypass authentication mechanism
7|6|9|0 , improper access control
7|6|4|0 ,
7|9|6|0|10 , set correct visibility correct cloud file visibility
7|9|6|0|10 , obtain sensitive information
7|6|0 , denial service infinite loop cpu consumption
7|6|0 , cross site scripting xss denial service
7|6|0 , elevation privilege privilege vulnerability
7|9|6|0|10 , obtain sensitive information
7|6|0 , denial service reboot link outage
7|6|0 , denial service device crash
5 , memory leak
5 , denial service
7|9|6|0|10 , obtain sensitive information
3|7|6|9|1|0 , create user account
7|6|0 , denial service infinite loop system hang
7|6|0 , access issue
7|6|0 , automatic bug reporting read change ownership unspecified impact arbitrary file symlink attack
10 , spoof security ui
10 , control bluetooth enable state local escalation privilege
7|6|0 , bypass sandbox protection mechanism
7|9|6|0|10 , execute arbitrary code execute code
3|7|9|6|4|0 , credential management error grant permission modify item configuration table system exception
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , enumerate user account
7|9|6|0|10 , access sensitive datum additional reconnaissance attack
7|9|6|0|10 , denial of- escalate privilege delete file execute low privileged code
7|6|0 , denial service bsod unspecified impact
7|9|6|0|10 , obtain sensitive information
7|9|6|0|10 , obtain sensitive information
7|6|9|0 , spoof premium payment confirmation dialog
7|6|4|0 , ftp service
7|6|0 , denial service unspecified impact
7|9|6|0|10 , read arbitrary attachment
7|6|0 , resource exhaustion persistent denial service
3|7|6|9|1|0 , remote code execution compromise affect system
7|6|0 , bound exploit heap corruption
7|9|6|0|10 , obtain asp source code
7|9|6|0|10 , information disclosure
7|6|9|0 , denial service reboot
3|7|6|9|1|0 , change administrative password
7|6|0 , arbitrary code execution
7|9|6|0|10 , user id
7|9|6|0|10 ,
7|6|0 , denial service temporary gateway outage
5 , memory leak
7|6|0 , integer overflow heap overwrite
7|9|6|0|10 , obtain sensitive ticket information
7|9|6|0|10 , obtain sensitive debugging information
3|7|6|9|1|0 , bypass normal login process
7|9|6|0|10 , delete arbitrary file
3|9|1|0 , ui spoofing
3|7|6|9|1|0 , bypass security restriction access server
7|6|0 , unrestricted file upload php code execution
10 , send message parent process click play attacker control permission
7|6|0 , denial service dos condition affect device crash dos condition
7|6|0 , websocket request steal datum denial service
7|6|0 , arbitrary code execution
7|6|0 , denial service exception daemon crash
3|7|6|9|1|0 , access bypass
7|9|6|0|10 , read modify
7|6|0 , bypass packet filter rule pass host
10 , bypass access restriction obtain customer information
3|7|6|9|1|0 , view unauthorized information virtual machine perform permitted operation gain visibility perform action virtual machine
3|7|6|9|1|0 ,
7|9|6|0|10 , programmatically disable enable wi
7|6|9|0 , improper access control bus
7|9|6|0|10 , read notification center notification certain pair device
7|6|0 , execute arbitrary code
7|6|4|0 ,
3|7|6|4|0 , launch brute force login attempt
7|9|6|0|10 , obtain sensitive information log msg leak
7|6|0 , bound memory read
7|6|9|0|10 , leak encryption key information
7|6|0 , low descender domain spoofing
3|7|6|4|0 , reclaim host role host role access join webex meeting acquire host role
7|6|0 , memory corruption memory corruption
7|6|0 , validate navigation request
7|9|6|0|10 , obtain internal ip address pod
7|9|6|0|10 , obtain sensitive information
7|6|0 , overwrite arbitrary file
7|6|9|0 , modify ucd object affect behavior legitimately trigger process
7|6|0 , arbitrary code execution
7|6|0 , construct document contain hyperlink point location executable
7|6|0 , bypass intend policy restriction
7|6|0 , perform import wgimportsources wiki
3|7|6|9|1|0 , authentication bypass
7|9|6|0|10 , gain access source code
7|6|0 , execute arbitrary code
7|9|6|0|10 , corrupt share memory segment denial service dos condition device reload
7|9|6|0|10 , access recording
7|9|6|0|10 , gain privilege obtain sensitive information
7|9|6|0|10 , obtain sensitive information externally usable password
7|6|0 , rename system processing denial service system crash
7|6|0 , delete arbitrary file
7|6|9|0 , affect confidentiality integrity
7|9|6|0|10 , affect confidentiality
7|6|0 , overwrite arbitrary file
7|6|0 , denial service infinite loop cpu consumption
7|9|6|0|10 , disclose sensitive information execute code
7|6|0 , content spoofing
7|9|6|0|10 ,
7|9|6|0|10 , gain privilege
7|9|6|0|10 , information disclosure
3|7|6|9|1|0 , access system
